centro,statistica,mean
cassaFoodArea,delay,0.604
cassaFoodArea,delay,0.605
cassaFoodArea,delay,1.367
cassaFoodArea,delay,1.345
cassaFoodArea,delay,0.842
cassaFoodArea,delay,2.174
cassaFoodArea,delay,0.799
cassaFoodArea,delay,0.741
cassaFoodArea,delay,1.010
cassaFoodArea,delay,1.454
cassaFoodArea,delay,0.960
cassaFoodArea,delay,2.174
cassaFoodArea,delay,0.686
cassaFoodArea,delay,2.024
cassaFoodArea,delay,1.208
cassaFoodArea,delay,0.535
cassaFoodArea,delay,2.043
cassaFoodArea,delay,1.359
cassaFoodArea,delay,0.869
cassaFoodArea,delay,1.332
cassaFoodArea,delay,0.999
cassaFoodArea,delay,2.945
cassaFoodArea,delay,0.781
cassaFoodArea,delay,0.767
cassaFoodArea,delay,0.885
cassaFoodArea,delay,0.646
cassaFoodArea,delay,0.811
cassaFoodArea,delay,1.605
cassaFoodArea,delay,3.216
cassaFoodArea,delay,1.131
cassaFoodArea,delay,3.290
cassaFoodArea,delay,1.063
cassaFoodArea,delay,1.712
cassaFoodArea,delay,0.950
cassaFoodArea,delay,5.079
cassaFoodArea,delay,5.745
cassaFoodArea,delay,0.699
cassaFoodArea,delay,0.704
cassaFoodArea,delay,0.566
cassaFoodArea,delay,1.909
cassaFoodArea,delay,1.110
cassaFoodArea,delay,1.055
cassaFoodArea,delay,0.859
cassaFoodArea,delay,1.393
cassaFoodArea,delay,1.889
cassaFoodArea,delay,0.790
cassaFoodArea,delay,1.247
cassaFoodArea,delay,1.406
cassaFoodArea,delay,0.802
cassaFoodArea,delay,0.990
cassaFoodArea,delay,0.746
cassaFoodArea,delay,2.052
cassaFoodArea,delay,2.394
cassaFoodArea,delay,0.617
cassaFoodArea,delay,1.999
cassaFoodArea,delay,0.766
cassaFoodArea,delay,1.138
cassaFoodArea,delay,1.214
cassaFoodArea,delay,3.229
cassaFoodArea,delay,1.268
cassaFoodArea,delay,1.171
cassaFoodArea,delay,0.567
cassaFoodArea,delay,1.186
cassaFoodArea,delay,1.078
cassaFoodArea,delay,0.786
cassaFoodArea,delay,1.681
cassaFoodArea,delay,0.865
cassaFoodArea,delay,0.710
cassaFoodArea,delay,1.845
cassaFoodArea,delay,0.908
cassaFoodArea,delay,0.730
cassaFoodArea,delay,1.355
cassaFoodArea,delay,1.082
cassaFoodArea,delay,1.139
cassaFoodArea,delay,1.394
cassaFoodArea,delay,2.289
cassaFoodArea,delay,2.398
cassaFoodArea,delay,1.053
cassaFoodArea,delay,1.404
cassaFoodArea,delay,2.684
cassaFoodArea,delay,1.566
cassaFoodArea,delay,0.737
cassaFoodArea,delay,0.927
cassaFoodArea,delay,1.114
cassaFoodArea,delay,0.927
cassaFoodArea,delay,0.823
cassaFoodArea,delay,1.393
cassaFoodArea,delay,1.028
foodArea,delay,0.788
foodArea,delay,0.916
foodArea,delay,2.590
foodArea,delay,0.822
foodArea,delay,0.533
foodArea,delay,0.711
foodArea,delay,0.660
foodArea,delay,0.997
foodArea,delay,1.488
foodArea,delay,1.138
foodArea,delay,0.699
foodArea,delay,0.784
foodArea,delay,0.586
foodArea,delay,1.181
foodArea,delay,1.179
foodArea,delay,0.742
foodArea,delay,2.745
foodArea,delay,2.263
foodArea,delay,1.563
foodArea,delay,0.725
foodArea,delay,0.697
foodArea,delay,1.455
foodArea,delay,0.655
foodArea,delay,0.780
foodArea,delay,1.266
foodArea,delay,0.708
foodArea,delay,1.330
foodArea,delay,0.552
foodArea,delay,3.646
foodArea,delay,0.610
foodArea,delay,1.264
foodArea,delay,1.048
foodArea,delay,1.183
foodArea,delay,1.986
foodArea,delay,0.882
foodArea,delay,2.662
foodArea,delay,0.667
foodArea,delay,0.633
foodArea,delay,1.594
foodArea,delay,1.808
foodArea,delay,1.173
